url,job_title,company,location,salary,experience,education,level,employment_type,industry,required_skills,preferred_skills,specialization,job_description,requirement
https://itviec.com/it-jobs/ky-su-trien-khai-he-thong-system-engineer-k8s-docker-ngs-1922,Kỹ sư Triển khai Hệ thống (System Engineer/K8S/Docker),NGS,"Tầng 4, tòa 6th Element Nguyễn Văn Huyên, Hà Nội, Nghia Do, Ha Noi","700 - 1,000 USD",,,,,IT Services and IT Consulting,"System Architecture, Grafana, CI/CD, Terraform, Docker, Linux",,,"Quản trị hệ thống hạ tầng (Linux, ảo hóa proxmox, container).
Vận hành Kubernetes & microservices.
Triển khai, tối ưu hệ thống lưu trữ tập trung CEPH, vSAN, SAN, NAS...
Tự động hóa với Ansible, Terraform, Helm, CI/CD.
Đảm bảo monitoring & logging (Prometheus, Grafana, ELK, Loki).
Triển khai và tối ưu hệ thống dự phòng","Yêu cầu 2 năm kinh nghiệm vị trí tương đương
Thành thạo Linux, hiệu biết Docker/K8S.
Đã quản lý các hệ thống Proxmox, CEPH là một lợi thế
Hiểu biết về automation & monitoring"
https://itviec.com/it-jobs/ky-su-tu-van-giai-phap-cntt-presales-network-system-southern-technology-development-company-ltd-5441,"Kỹ Sư Tư Vấn Giải Pháp CNTT (Presales, Network, System)","Southern Technology Development Company, Ltd","15 - 17 Đường 1D, KDC Trung Sơn, Binh Hung, Ho Chi Minh",Thỏa thuận,,,,,IT Services and IT Consulting,"Presale, Antivirus, Firewall, System Admin, Networking",,,"Tiếp nhận, tìm hiểu và phân tích nhu cầu của khách hàng;  tư vấn và đưa ra giải pháp phù hợp, lập dự toán.
Xây dựng và hoàn thiện tài liệu giải pháp, tài liệu thiết kế kỹ thuật và các  tài liệu liên quan đến dự án trước và sau khi triển khai:
Xây dựng các hồ sơ kỹ thuật, giải pháp cho các dự án.
Tham gia xây dựng các tài liệu liên quan hồ sơ thầu.
Thực hiện việc lên BoM thiết bị các hãng (Dell, Cisco, HPE. Aruba…).
Hoàn thiện hồ sơ thầu, nghiệm thu: bản vẽ, mapping port, tài liệu HDSD, bàn giao,….
Có kiến thức vững về các giải pháp, sản phẩm CNTT trên thị trường, tìm hiểu xu hướng CNTT.
Tìm kiếm, so sánh và đánh giá sản phẩm, công nghệ mới.
Phối hợp với bộ phận kinh doanh gặp gỡ khách hàng, hỗ trợ triển khai các sản phẩm, giải pháp.
Hỗ trợ các phòng ban liên quan (sự kiện, tài liệu kỹ thuật, hội thảo).","Tốt nghiệp Cao đẳng, Đại Học các chuyên ngành IT (Network, System) hoặc các chuyên ngành liên quan.
Có khả năng giao tiếp, tương tác với hãng, đặc biệt là khách hàng.
Có ít nhất 2 chứng chỉ chuyên môn về system, network: MCITP, CCNA, CCNP, …
Có kiến thức về:
Các Server IBM, HPE, Dell,…
Storage, Backup, NAS, SAN
Giải pháp về bảo mật như Firewall, Antivirus, DLP
Giải pháp về hạ tầng Network wired/wireless
Có khả năng đọc, viết tài liệu tiếng Anh.
Kinh nghiệm: ít nhất 2 năm ở vị trí Presale, ưu tiên ứng viên đã từng có kinh nghiệm triển khai.
Kỹ năng quản lý thời gian, sắp xếp công việc tốt.
Nắm bắt nhanh, có tinh thần ham học hỏi, luôn tìm hiểu cập nhật công nghệ/ giải pháp mới.
Thái độ: trung thực, hòa đồng, cởi mở"
https://itviec.com/it-jobs/ky-su-van-hanh-mang-an-ninh-he-thong-hotx-holding-group-0005,Kỹ Sư Vận Hành Mạng & An Ninh Hệ Thống,HOTX Holding Group,"Số 5 ngõ 82 Duy Tân, Cầu Giấy, Ha Noi",30tr - 60tr,,,,,IT Services and IT Consulting,"Security, Web Application Firewall, Networking, Python, MySQL, Linux",,,"Chịu trách nhiệm kỹ thuật vận hành, quy hoạch kiến trúc mạng, triển khai dự án, xử lý sự cố đối với các thiết bị mạng như Switch (chuyển mạch), Firewall (tường lửa), Thiết bị quản lý hành vi người dùng, Router (bộ định tuyến), Switch Layer 3, VPN; đảm bảo duy trì an toàn hệ thống và mạng.
Chịu trách nhiệm triển khai, xử lý sự cố và bảo trì các sản phẩm an ninh như: Bastion Host (máy chủ bật), WAF (Tường lửa ứng dụng Web), Kiểm toán nhật ký (Log Audit), Kiểm toán cơ sở dữ liệu, đảm bảo hoạt động ổn định.
Thực hiện triển khai, cài đặt và bảo trì các sản phẩm tự phát triển của công ty cũng như các sản phẩm liên quan đến nền tảng Cloud.
Cung cấp hỗ trợ kỹ thuật và dịch vụ khách hàng, bao gồm như: giải đáp thắc mắc kỹ thuật, xử lý sự cố hư hỏng, đề xuất giải pháp kỹ thuật, đảm bảo vấn đề của khách hàng được giải quyết kịp thời.
Xây dựng quy trình vận hành mạng và soạn thảo tài liệu kỹ thuật chuẩn hóa như: sổ tay hướng dẫn, phương án kỹ thuật.
Đảm bảo hệ thống nghiệp vụ hoạt động ổn định 24/7, phản hồi nhanh chóng và xử lý các sự cố xảy ra","Tốt nghiệp Đại học chuyên ngành CNTT, ATTT, Viễn thông hoặc tương đương.
Có từ 1–5 năm kinh nghiệm trong lĩnh vực vận hành hạ tầng mạng & bảo mật.
Hiểu rõ các giao thức: TCP/IP, VLAN, OSPF, BGP, STP, DHCP, DNS,…
Thành thạo Linux/Windows Server, dịch vụ Web (Apache/Nginx), MySQL/PostgreSQL.
Có kinh nghiệm triển khai & cấu hình thiết bị mạng, tường lửa, WAF, máy chủ bảo mật.
Biết scripting (Shell, Python) & sử dụng thành thạo công cụ tự động hóa.
Cẩn thận, kỹ lưỡng, có khả năng làm việc dưới áp lực và phối hợp đa bên.
Có kỹ năng viết tài liệu kỹ thuật & giao tiếp tốt.
Ưu tiên ứng viên giao tiếp được bằng tiếng Trung / tiếng Anh."
https://itviec.com/it-jobs/lap-trinh-vien-anycube-net-net-core-japanese-vinx-vietnam-4200,"Lập trình viên AnyCUBE (.NET/.NET Core, Japanese)",VINX VIETNAM,"WASECO building,10 Pho Quang Street, Ho Chi Minh",Thỏa thuận,,,,,IT Services and IT Consulting,".NET, Japanese, English, JavaScript, SQL",,,"Bảo trì và phát triển hệ thống bán lẻ tại thị trường Nhật Bản:
Điều tra & giải quyết vấn đề được liên lạc (thiết kế, code, test)
Tài liệu hóa các dự án đã thực hiện
Tham gia nghiên cứu, thực hiện các dự án mới","Yêu cầu :
Thành thạo .NET/.NET Core trên nền tảng web
Hiểu biết rộng về HTML, CSS, Javascript
Sử dụng thành thạo LinQ
Có kinh nghiệm làm việc với database SQL Server, tối ưu câu query và nâng cao hiệu suất
Có kinh nghiệm xử lý lập lịch (Task Scheduler), tác vụ chạy ngầm – xử lý hàng đợi (Queue Job)
Sử dụng GIT, SVN
Tiếng Anh : đọc, viết
Tiếng Nhật : biết tiếng Nhật là lợi thế
Ưu tiên ứng viên:
Biết tiếng Nhật cơ bản hoặc có kinh nghiệm làm việc tại công ty Nhật
Có kinh nghiệm trong lĩnh vực bán lẻ
Có kiến thức sử dụng Cloud"
https://itviec.com/it-jobs/lead-data-analyst-cong-ty-tnhh-mtv-stride-5115,Lead Data Analyst,CÔNG TY TNHH MTV STRIDE,"Tầng 5, tòa nhà L'Mak The Signature, 147 Hai Bà Trưng, Xuan Hoa, Ho Chi Minh",Thỏa thuận,,,,,Utilities,"English, Java, Python, SQL, Data Analysis, Team Management",,,"Lead data reporting, analytics & dashboards (Excel, Google Sheets, Power BI/Tableau/Looker Studio).
Deliver insights on business performance & customer behavior.
Define and implement initiatives in data, AI, and automation to optimize operations, enhance customer experience, and drive growth.
Support UAT, validation, and end-user assistance during system deployments.
Manage data systems, CRM, and internal applications
Drive AI/automation initiatives to optimize operations
Lead & develop a team of Data/IT members","Prefer a Bachelor's degree in: Information Technology, Information Management, Data Science, or related fields.
3+ years in Data Analyst/Data Scientist/ MIS roles or having experience in leading a team
Strong SQL with experience in MongoDB.
Skilled in using Python/Java for data processing and visualization.
Experience with BI tools (Power BI/Tableau/Excel)
Knowledge of cloud/API is a plus"
https://itviec.com/it-jobs/lead-data-engineer-itviec-recruitment-consulting-4157,Lead Data Engineer,ITviec Recruitment Consulting,"City, Ho Chi Minh",Thỏa thuận,,,,,Staffing and Recruiting,"AWS, AWS Lambda, AWS Glue, Pandas, Python",,,"Role Summary
As a Data Engineer, you will be responsible for managing, designing, and enhancing data systems and workflows that drive key business decisions. The role is focused 75% on data engineering, involving the construction and optimization of data pipelines and architectures, and 25% on supporting data science initiatives through collaboration with data science teams for machine learning workflows and advanced analytics. You will leverage technologies like Python, Airflow, Kubernetes, and AWS to deliver high-quality data solutions.

Key Activities
Architect, develop, and maintain scalable data infrastructure, including data lakes, pipelines, and metadata repositories, ensuring the timely and accurate delivery of data to stakeholders.
Work closely with data scientists to build and support data models, integrate data sources, and support machine learning workflows and experimentation environments.
Develop and optimize large-scale, batch, and real-time data processing systems to enhance operational efficiency and meet business objectives.
Leverage Python, Apache Airflow, and AWS services to automate data workflows and processes, ensuring efficient scheduling and monitoring.
Utilize AWS services such as S3, Glue, EC2, and Lambda to manage data storage and compute resources, ensuring high performance, scalability, and cost-efficiency.
Implement robust testing and validation procedures to ensure the reliability, accuracy, and security of data processing workflows.
Stay informed of industry best practices and emerging technologies in both data engineering and data science to propose optimizations and innovative solutions.","Required Skills
Core Expertise: Proficiency in Python for data processing and scripting (pandas, pyspark), workflow automation (Apache Airflow), and experience with AWS services (Glue, S3, EC2, Lambda).
Containerization & Orchestration: Experience working with Kubernetes and Docker for managing containerized environments in the cloud.
Data Engineering Tools: Hands-on experience with columnar and big data databases (Athena, Redshift, Vertica, Hive/Hadoop), along with version control systems like Git.
Cloud Services: Strong familiarity with AWS services for cloud-based data processing and management.
CI/CD Pipeline: Experience with CI/CD tools such as Jenkins, CircleCI, or AWS CodePipeline for continuous integration and deployment.
Data Engineering Focus (75%): Expertise in building and managing robust data architectures and pipelines for large-scale data operations.
Data Science Support (25%): Ability to support data science workflows, including collaboration on data preparation, feature engineering, and enabling experimentation environments.

Nice-to-have requirements
Langchain Experience: Familiarity with Langchain for building data applications involving natural language processing or conversational AI frameworks.
Advanced Data Science Tools: Experience with AWS Sagemaker or Databricks for enabling machine learning environments.
Big Data & Analytics: Familiarity with both RDBMS (MySQL, PostgreSQL) and NoSQL (DynamoDB, Redis) databases.
BI Tools: Experience with enterprise BI tools like Tableau, Looker, or PowerBI.
Messaging & Event Streaming: Familiarity with distributed messaging systems like Kafka or RabbitMQ for event streaming.
Monitoring & Logging: Experience with monitoring and log management tools such as the ELK stack or Datadog.
Data Privacy and Security: Knowledge of best practices for ensuring data privacy and security, particularly in large data infrastructures."
https://itviec.com/it-jobs/lead-front-end-developer-javascript-reactjs-angular-bosch-global-software-technologies-company-limited-1839,"Lead Front-end Developer (JavaScript, ReactJS/Angular)",Bosch Global Software Technologies Company Limited,"364 Cong Hoa street, Tan Binh, Ho Chi Minh",Thỏa thuận,,,,,IT Services and IT Consulting,"JavaScript, VueJS, Angular, ReactJS, Leadership, HTML5",,,"Company Description
The Bosch Group
is a leading global supplier of technology and services. Since the beginning of 2013, its operations have been divided into four business sectors: Automotive Technology, Industrial Technology, Consumer Goods, and Energy and Building Technology.
The Bosch Group comprises Robert Bosch GmbH and its roughly 360 subsidiaries and regional companies in some 50 countries. If its sales and service partners are included, then Bosch is represented in roughly 150 countries. This worldwide development, manufacturing, and sales network is the foundation for further growth.
Bosch Global Software Technologies Company Limited (BGSV) i
s 100% owned subsidiary of Robert Bosch GmbH - one of the world’s leading global suppliers of technology and services, offering end-to-end Engineering, IT, and Business Solutions.
Starting its operation from 2010 at Etown 2 in HCMC, BGSV is the first software development center of Bosch in Southeast Asia. BGSV nowadays have over 4,000 associates, with a global footprint and presence in the US, Europe, and the Asia Pacific region.
With our unique ability to offer end-to-end solutions that connect sensors, software, and services, we enable businesses to move from the traditional to digital or improve businesses by introducing a digital element in their products and processes.
Job Description
A
Lead Front-End Developer
for a global IT workflow product drives the user experience of complex, data-heavy systems. This role requires balancing hands-on technical excellence with the architectural foresight needed to scale products across international markets.
You will lead the front-end strategy for a global IT workflow automation product, guiding architecture and delivery of intuitive, performant experiences for complex, data-heavy use cases. From drag-and-drop workflow builders and real-time dashboards to configuration wizards, you’ll set the technical direction, raise engineering standards, and ensure the UI is responsive, accessible, and reliable across regions and network conditions.
Key Responsibilities
· Technical strategy and architecture:
Define the front-end architecture (React + TypeScript primary) including state management patterns, choosing frameworks and patterns that ensure scalability and maintainability. Drive API contract discipline with backend and define caching/streaming strategies for real-time data.
· Design System Management:
Own and scale the Bosch Digital Design System and component library, ensuring pixel-perfect consistency across all regions and product modules. You will ensure Bosch Corporate Design is applied correctly.
· Workflow Automation UX:
Design and implement intuitive interfaces for complex logic, such as drag-and-drop workflow builders, real-time data dashboards, and integration of wizards.
· Design system leadership:
Own and evolve the component library and design tokens (theming, dark/HC modes); govern adoption via Storybook, documentation, and CI gates (lint, a11y, visual regression). Ensure consistency and scalability across modules and international variants.
· Global readiness (i18n, a11y, performance):
Ensure high performance across varying network conditions and localized support for multiple languages and regional data standards.
· Engineering excellence and security:
Build a testing strategy and implement CI/CD quality gates, bundle analysis, and static checks.
· Cross-Functional Collaboration:
Partner with UX/UI designers to bridge the gap between high-fidelity designs and technical feasibility, and with backend teams to define robust API contracts.
· Team Mentorship:
Mentor engineers, lead code reviews, establish engineering standards and playbooks, and contribute to hiring and onboarding.","Must Have
Education:
Bachelor’s or master's degree in computer science, Engineering, or a related field.
Experience:
7+ years of professional front-end experience, including 3+ years leading teams or major initiatives on large-scale web apps.
Core Languages:
Expert in modern JavaScript (ES6+), HTML5, CSS3 (Sass/CSS Modules) and modern layout.
Frameworks:
Extensive experience with React, Angular, or Vue.js, including state management (e.g., Redux, MobX). React proficiency building reusable, stateful components and hooks; strong command of state management.
Design system adoption
across 2+ product modules with documented components and usage guidelines.
Build & Deployment:
Proficiency with Git-based workflows, and CI/CD (GitHub Actions/GitLab CI/Jenkins) with quality gates.
Testing:
Strong background in automated testing frameworks like Jest, Cypress, or Playwright.
Deep understanding of Web Accessibility (WCAG) and SEO best practices.
Localized experiences delivered in multiple languages, including at least one RTL locale.
Security awareness
(OWASP front-end risks, XSS/CSP, secure handling of untrusted content).
Agile Mindset:
Proven track record of delivering in fast-paced, sprint-based global environments.
Global Mindset:
Experience delivering software that accounts for regional cultural nuances and varied internet speeds.
Nice to Have
Workflow Expertise
: Experience building tools for IT operations, project management, or SaaS automation is highly desirable.
Project Management:
Ability to manage timelines, define technical roadmaps, and communicate progress to senior stakeholders.
Design token pipelines (Style Dictionary), Storybook, Chromatic/visual regression testing.
Observability (Sentry, Datadog), feature flagging, A/B testing.
Experience with distributed teams and varying network conditions across regions.
Measurable improvements in Core Web Vitals and interaction latency on at least one high-traffic workflow."
https://itviec.com/it-jobs/lead-java-engineer-nab-innovation-centre-vietnam-4631,Lead Java Engineer,NAB Innovation Centre Vietnam,"The Hallmark, 15 Tran Bach Dang, An Khanh Ward, An Khanh, Ho Chi Minh",Thỏa thuận,,,,,Banking,"Java, Spring Boot, Microservices, English",,,"ABOUT THE JOB
We are seeking motivated Lead Java Engineer who are passionate, results focused contributing to the transformation of NAB’s payment acceptance experience through innovation, digitisation, and integration. You will be part of our delivery team and will be responsible for providing technical leadership throughout all phases of the software delivery life cycle as we initiate a transformation of NAB technology.
At NAB, we believe success comes from our people. We're committed to supporting your talent and skills through your career, as you help us build a culture that affects change for our customers and for the community too.

MAIN RESPONSIBILITIES
Provide hands-on leadership to the design, development, and deployment of technical solutions;
Collaborate with other NAB's technology leaders towards improving and fulfilling the NAB technical direction;
Evangelizing and promoting Java /JavaScript - Node.js & React.js best practices;
Be passionate about Java /Node.js understanding how to implement advancement for existing or new systems;
Lead and conduct training to empower engineers on sufficient programming skills;
Design, develop, review, implement, and manage Java application code and services for the production and pre-release environments;
Design, develop, review, implement, and manage continuous integration, build management and deployment scripts, systems, and any code as required;
Participate in Agile software development, prototyping, and code review with international development teams to build scalable microservices-based products and APIs using Java technologies on AWS or Azure cloud architecture;
Understand the requirements of the customer or business and utilize this knowledge to develop applications that are consistent with this;
Work with delivery teams to achieve success through development using CI/CD and DevOps practices, processes, and tooling;
Provide robust coding practices, solid unit/component test coverage, and debugging code;
Fulfil other tasks as assigned by your People Leader and/or authorized representative of NAB Vietnam from time to time.","YOUR SKILLS & EXPERIENCE
Must-have
+8 years' experience
as a
Technical Lead/Senior/Staff Engineer in a complex, enterprise-level
development environment; solid in architecting, developing, and deploying modern
architectural patterns/techniques (microservices, DDD, TDD ...)
Solid experience in
Java 8+, Java open-source frameworks,
including developing using modern frameworks, e.g.
Spring Boot
, Spring Cloud (less preferable)
Solid experience in designing & developing
RESTful APIs
and
microservices-based
system
Solid experience with
AWS / Azure Cloud
services is highly desired
Experience supporting a production service in a
DevOps friendly environment
Solid experience in
Agile
development environments;
Well-versed in writing structured, well-documented, maintainable, and clean code;
Excellence in problem-solving and analytical skills;
Experience in leading and coaching at least one software engineering team on multiple projects;
Strong understanding of standard Software Engineering processes, Testing, and Agile methodology;
Strong understanding of secure coding practices and application security;
Excellent technical documentation and diagramming skills
Strong English communication skills
(both verbal & written), especially in the global software development environment;"
https://itviec.com/it-jobs/lead-qa-qc-tester-python-playwright-bosch-global-software-technologies-company-limited-1608,Lead QA/QC Tester (Python/Playwright),Bosch Global Software Technologies Company Limited,"364 Cong Hoa street, Tan Binh, Ho Chi Minh",Thỏa thuận,,,,,IT Services and IT Consulting,"Automation Test, Playwright, API, Tester, QA QC, Python",,,"**This position will be contracted through Bosch’s external vendor under a one-year agreement.

Team Leadership & Mentorship (30%):
Lead, mentor, and guide a team of up to 5 Quality Assurance Engineers.
Foster a collaborative and high-performing team environment.
Provide technical guidance and support to team members, helping them grow their skills and careers.
Delegate tasks effectively and ensure equitable workload distribution.
Test Strategy & Execution (70%):
Product Requirement:
Analyze product requirements and design documents, contributing expertise to ensure comprehensive and accurate documentation.
Test Strategy:
Take ownership of, and continuously improve, our existing integration testing strategy.
Test Case:
Conduct comprehensive reviews of test scenarios, test cases, and test scripts to ensure thorough coverage, accuracy, and adherence to best practices.
Test Execution:
Design, develop, and maintain robust and scalable automation frameworks and scripts using
Playwright with Python
, along with manual testing as a hybrid Tester; drive continuous integration and continuous delivery (CI/CD) practices for automated tests; conduct performance tests.
Test Monitoring & Report:
Monitor, analyze, and report on test results, identifying trends and areas for improvement, provide visualization of results using graphical tools.
Team collaboration:
closely with development teams, product managers, and other stakeholders to understand requirements and ensure testability.
AI leverage:
Ability to apply AI-driven solutions across the end‑to‑end testing lifecycle to improve efficiency, coverage,","7+ years of experience
, focus on automation testing
Good English communication and documentation skills
ISTQB
or equivalent testing certificate
Familiar with
Playwright Python
; additional skillset in Playwright Typescript is a plus.
Experience with OutSystems Platform or Low Code – No Code platforms is a plus."
https://itviec.com/it-jobs/lead-qc-engineer-automation-gen-ai-ahamove-5550,Lead QC Engineer (Automation & Gen AI),Ahamove,"Tòa nhà Rivera Park 7/28 Thành Thái, Dien Hong, Ho Chi Minh",Thỏa thuận,,,,,E-commerce,"QA QC, JavaScript, Python, AI, Automation Test, Tester",,,"We are seeking a visionary Lead QC Engineer with 5–7 years of experience to spearhead our transition into AI-augmented quality engineering. In this role, you will architect an Automation-First ecosystem powered by Generative AI and high-velocity deployment tools. You aren't just managing a test suite; you are leveraging cutting-edge CLI tools like Claude Code and robust frameworks like Antigravity to ensure reliability at the speed of modern development.

KEY RESPONSIBILITIES
Automation & Gen AI Execution (65%)
AI-Native Development: Use Claude Code (CLI) to accelerate script generation, perform real-time code refactoring, and automate the creation of complex test suites directly from the terminal.
High-Velocity Execution: Implement and maintain automation workflows using Antigravity, ensuring tests are lightweight, fast-executing, and resilient across different environments.
Gen AI Execution Strategy: Build ""Prompt Libraries"" and AI agents to handle the heavy lifting of manual-to-automated script conversion (Playwright/Cypress).
CI/CD Intelligence: Integrate AI-driven insights into GitLab/Jenkins pipelines to predict ""flaky"" tests and optimize execution paths based on code changes.
Self-Healing Frameworks: Design automation layers that utilize LLMs to self-correct scripts when UI elements or API contracts shift.
Process Innovation & Strategy (20%)
Workflow Engineering: Re-engineer the QC lifecycle by deploying AI agents for defect triaging, log analysis, and automated bug reporting.
Tech Advocacy: Continuously evaluate the intersection of Claude Code, LLMs, and Antigravity to minimize ""gravity"" (friction) in the release cycle.
Efficiency Metrics: Define and track ""AI-Lift"" metrics—measuring how AI integration reduces time-to-market and increases test coverage.
Leadership & Mentorship (15%)
The ""Automation-Mindset"": Coach the team to move beyond manual validation, fostering a culture where AI assistants are the primary driver for efficiency.
Strategic Alignment: Partner with DevOps and Engineering leads to align quality gates with rapid, ""Antigravity-speed"" deployment cycles.","Experience: 5–7 years in QA/QC, with at least 2 years in a Lead capacity spearheading automation initiatives.
Automation Mastery: Expert-level proficiency in Python, JavaScript/TypeScript, or Java. Hands-on experience with Playwright, Cypress, or Selenium.
Advanced Tooling & AI:
Claude Code: Proficiency in using Claude’s CLI for agentic coding, automated debugging, and script generation.
Antigravity: Proven experience leveraging Antigravity for high-efficiency test execution and infrastructure management.
LLM Literacy: Expert at using GPT-4, Claude 3.5/4, and AI-powered IDEs (Cursor/GitHub Copilot).
Technical Stack:
Deep knowledge of API Testing (Postman, RestAssured) and Microservices.
Proficiency in Docker/K8s and cloud-native environments.
Soft Skills: A technical ""tinkerer"" who can explain complex AI workflows to stakeholders and mentor junior engineers in the art of Prompt Engineering."
